id,name,region,coat_of_arms,words,founded,died_out
65,House Celtigar of Claw Isle,The Crownlands,"Argent, semy of crabs gules",,prior to ~112 years before the Conquest,
66,House Cerwyn of Cerwyn,The North,"Argent, a battle-axe paleways sable","Honed and Ready",,
67,House Chambers,The Riverlands,,,,
68,House Charlton,The Riverlands,"Three sprigs of mistletoe, green and red, on a gold field within a green border(Or, three sprigs of mistletoe vert, fructed gules, within a bordure of the second)",,,
69,House Chelsted,The Crownlands,"Per bend green and white shield, a spiked mace and a silver dagger crossed(Per bend vert and argent, in pale a mace surmounted by a dagger in fesse of the second)",,,
70,House Chester of Greenshield,The Reach,"A green hand on a gold escutcheon on a green field, a border of red rayonne",,,
71,House Chyttering,The Crownlands,"Three golden enhanced bendlets on a white shield(Argent, three bendlets enhanced or)",,,
72,House Clegane,The Westerlands,"Three dogs on a yellow field(Or, three dogs courant in pale sable)",,,
73,House Clifton,The Westerlands,,,,
74,House Cockshaw,The Reach,"Sable, three feathers in fess gules argent and or",,,
75,House Codd,Iron Islands,,"Though All Men Do Despise Us",,
76,House Coldwater of Coldwater Burn,The Vale,"A blue pall with white borders, on a red field(Gules, a pall azure, fimbriated argent)",,,
77,House Cole,The Stormlands,"Ten black pellets, on a scarlet field(Gules, ten pellets, 4, 3, 2, 1)",,,
78,House Condon,The North,"An eagle's head between crossed tridents, red on white",,,
79,House Conklyn,The Reach,,,,
80,House Connington of Griffin's Roost,The Stormlands,"Two combatant griffins, counterchanged, on a red and white field(Per pale gules and argent, two griffins combatant counterchanged)",,,
81,House Corbray of Heart's Home,,"Three black ravens in flight, holding three red hearts, on a white field(Argent, three ravens volant sable, each clutching in their claws a heart gules)",,,
82,House Cordwayner of Hammerhal,The Reach,"Lozengny vert and or, a pair of boots sable",,,
83,House Costayne of Three Towers,The Reach,"Quarterly; sable, a chalice argent; or, a rose sable",,,
84,House Cox of Saltpans,,,,,
85,House Crabb,The Crownlands,,,,
86,House Crakehall of Crakehall,The Westerlands,"A brindled boar on a brown field(Tenné, a boar brindled sable and argent)","None so Fierce",,
87,House Crane of Red Lake,The Reach,"Azure, cranes in chevron or",,,
88,House Cray,The Neck,,,,
89,House Cressey,The Crownlands,"Seven silver coins on a red bend sinister, between two silver helmets, on a blue field(Azure, on a bend sinister gules seven plates, between two helmets argent)",,,
90,House Crowl of Deepdown,The North,"Pily gules and sable",,,
91,House Cuy of Sunhouse,The Reach,"Six yellow flowers on blue",,Andal Invasion,
92,House Dalt of Lemonwood,Dorne,"Purpure, semy of lemons Or",,,
93,House Dargood,The Crownlands,,,,
94,House Darke,The Crownlands,,,,
95,House Darklyn of Duskendale,The Crownlands,"Fusily sable and or, upon a pale in dexter gules seven escutcheons argent",,Age of Heroes,277 AC
96,House Darkwood,The Crownlands,,,,
97,House Darry of Darry,The Riverlands,"A black plowman on a brown field(Tenné, a plowman sable)",,,
98,House Dayne of High Hermitage,Dorne,,,,
99,House Dayne of Starfall,Dorne,"A white sword and falling star crossed on lilac (Purpure, a blazing star bendways surmounted by a sword bendways sinister argent)",,,
100,House Deddings,The Riverlands,,,,
101,House Doggett,The Westerlands,"Per bend, a white unicorn on a green field, a black raven on a white field(Per bend vert and argent, in sinister chief a unicorn rampant of the second, and in dexter base a raven closed sable)",,,
102,House Dondarrion of Blackhaven,The Stormlands,"A forked purple lightning bolt, on black field speckled with four-pointed stars(Sable, semé of mullets of four points argent, a lightning bolt forked purpure)",,Before 1 AC,
103,House Donniger,The Vale,"A red sun rising from a grey-green sea, against a yellow sky(Per fesse wavy or and vert-cendrée, a demi-sun-in-splendour issuant from the line of division gules)",,,
104,House Drinkwater,Dorne,,,,
105,House Drox,The Westerlands,"Three black crossbows, on a gold field with a black border(Or, three crossbows within a bordure sable)",,,
106,House Drumm of Old Wyk,Iron Islands,"Gules, a bone hand argent",,,
107,House Dryland,Dorne,,,,Rhoynar migration
108,House Dunn,The Reach,"per pale black and pink, a countercharged two-headed pelican",,,
109,House Durrandon,The Stormlands,"A black crowned stag, on a gold field(Or, a stag salient, crowned, sable)","Ours is the Fury",Age of Heroes,1 AC
110,House Durwell,The Reach,,,,
111,House Dustin of Barrowton,The North,"Two rusted longaxes with black shafts crossed, a black crown between their points, on yellow",,,
112,House Edgerton,The Crownlands,"Purpure, a wheel flaming tenny quartered with half-fusilly sable and argent",,,
113,House Egen,The Vale,"A yellow sun, white crescent moon, and silver star on a blue chief, above a white field(Argent, on a chief azure a moon increscent of the first between a sun-in-splendour or and a mullet of the first)","By Day or Night",,
114,House Elesham of the Paps,The Vale,"A black star between an inverted stone-coloured double-pile, on a pink field(Carnation, a mullet sable between two piles issuant from base cendrée)",,,
115,House Erenford,The Riverlands,"A golden heron, beak and legs black, standing with a silver fish in its beak, on a pink field(Carnation, a heron or, beaked and membered sable, clasped in its mouth a fish argent)",,,
116,House Errol of Haystack Hall,The Stormlands,"A yellow haystack, on an orange field(Tenné, a haystack or)",,,
117,House Estermont of Greenstone,The Stormlands,"A dark-green sea-turtle on a pale-green field(Vert, a sea-turtle tergiant of the field)",,,
118,House Estren of Wyndhall,The Westerlands,"A green saltire between four red double-headed eagles, on a white field(Argent, a saltire vert between four double-headed eagles displayed gules)",,,
119,House Falwell,The Westerlands,"A fool in red and gold motley juggling five suns, on a black field(Sable, a fool proper clothed in motley gules and or, juggling five suns-in-splendour of the last)",,,
120,House Farman of Faircastle,The Westerlands,"Three silver ships on a blue field with a border of crimson and gold(Azure, three galleys argent within a bordure compony gules and or)",,,
121,House Farring,The Crownlands,"Per pale purpure and argent, two knights combatant crossing swords counterchanged",,,
122,House Farwynd of Sealskin Point,Iron Islands,,,,
123,House Farwynd of the Lonely Light,Iron Islands,"Per fess wavy tenny and sable, a demi-torteaux gules issuant from the division surmounted by a longship sailing upon the division of the second",,,
124,House Fell of Felwood,The Stormlands,"Per fess, a white crescent moon on a black field above a green field, a sprucetree line between(Per fess sapinagé vert and sable, in dexter chief a moon increscent argent)",,,
125,House Fenn,The Neck,"Purpure, three water lilies sable",,,
126,House Ferren,The Westerlands,"Per saltire, checkered red and gold, a silver and black ferret on a green field(Per saltire chequy gules and or and vert, in each flank point a ferret argent and sable)",,,
127,House Fisher,The Riverlands,"A crowned catfish, spotted grey, on a blue field(Azure, a catfish cendrée, crowned or)",,,
128,House Fisher of the Stony Shore,The North,,,,
129,House Flint  of the mountains,The North,,,,
130,House Flint of Breakstone Hill,The North,,,,
131,House Flint of Flint's Finger,The North,"Paly sable and cendrée on a pall inverted argent a hand couped of the second",,,
132,House Flint of Widow's Watch,The North,"Azure, semy of whitecaps argent on a chief wavy Or two eyes of the second irised of the first and pupiled sable","Ever Vigilant",,
133,House Florent of Brightwater Keep,The Reach,"A red fox in a circle of blue flowers on ermine",,,
134,House Follard,The Crownlands,"Gyronny gules and argent, on a canton Or a fool's cap two peaked of the first and second","None so Wise",,
135,House Foote,The Westerlands,"A copper dagger across a black chevron, on a white field(Argent, a chevron reversed sable, surmounted by a dagger erect tenné)",,,
136,House Foote of Nightsong,The Stormlands,,,299 AC,
137,House Footly of Tumbleton,The Reach,"a field of silver caltrops on black","Tread Lightly Here",,
138,House Forrester,The North,"an ironwood tree outline with a sword outline drawn inside it, pointing down. (Telltale)","Iron from Ice (Telltale)",,
139,House Fossoway of Cider Hall,The Reach,"Or, an apple gules","Taste of Glory",,
140,House Fossoway of New Barrel,The Reach,"Or, an apple vert",,209 AC,
141,House Fowler of Skyreach,Dorne,"Argent, a hooded hawk trussed azure","Let Me Soar",,
142,House Frey of Riverrun,The Riverlands,,,299 AC,
143,House Frey of the Crossing,The Riverlands,"Two blue towers, united by a bridge, on a silver-grey field(Cendrée, a bridge azure, at either end a tower of the same)",,600 years ago,
144,House Frost,The North,,,,
145,House Gardener of Highgarden,The Reach,"Argent, a hand couped vert",,Age of Heroes,1 AC in the War of Conquest
146,House Gargalen of Salt Shore,Dorne,"Or, a cockatrice gules, in its beak a serpent sable",,,
147,House Garner,The Westerlands,"Three grey owls upon white plates, on a green field(Vert, three plates, each charged with an owl close affronté cendrée)",,,
148,House Gaunt,The Crownlands,"Purpure, three lances palewise in fess between two flaunches sable",,,
149,House Glenmore,The North,,,,
150,House Glover of Deepwood Motte,The North,"Gules, a gauntlet argent",,,
151,House Goodbrook,The Riverlands,"A blue wavy bend, on a gold field(Or, a bend wavy azure)",,,
152,House Goodbrother of Corpse Lake,Iron Islands,,,,
153,House Goodbrother of Crow Spike Keep,Iron Islands,,,,
154,House Goodbrother of Downdelving,Iron Islands,,,,
155,House Goodbrother of Hammerhorn,Iron Islands,"Gules, a warhorn sable banded or.",,,
156,House Goodbrother of Orkmont,Iron Islands,,,,
157,House Goodbrother of Shatterstone,Iron Islands,,,,
158,House Gower,The Stormlands,"Nine yellow trefoils on a black cross, on an ermine field(Ermine, on a cross sable nine trefoils or)",,,
159,House Graceford of Holyhall,The Reach,"Tenny, on a pale wavy argent the Mother's face proper","Work Her Will",,
160,House Grafton of Gulltown,The Vale,"A yellow tower, burning, on a black pile, on a flame-red field(Gules, on a pile sable a tower or with flames issuant from the battlements proper)",,,
161,House Grandison of Grandview,The Stormlands,"A black sleeping lion, on a yellow field(Or, a lion dormant sable)","Rouse Me Not",,
162,House Graves,The Reach,"Green and white gyronny, a double-headed eagle counter-charged, gold beak and talons",,,
163,House Greenfield of Greenfield,The Westerlands,"A white double-tressure, on a green field(Vert, a double-tressure argent)",,,
164,House Greengood,The Neck,,,,
165,House Greenwood,The North,,,,
166,House Grell,The Riverlands,"Three red martlets on a white bend, on a blue field(Azure, on a bend argent three martlets gules)",,,
167,House Grey,The Riverlands,,,,
168,House Greyiron of Orkmont,Iron Islands,"The sea king's head, white with dark green seaweed beard and hair, a black crown on a grey field",,,
169,House Greyjoy of Pyke,Iron Islands,"Sable, a kraken Or","We Do Not Sow",Age of Heroes,
170,House Greystark of Wolf's Den,The North,,,,
171,House Grimm of Greyshield,The Reach,"An iron escutcheon with silver studs on a grey-green field strewn with longships proper",,,
172,House Haigh,The Riverlands,"A black pitchfork on a gold bend sinister, on a russet field(Tenné, on a bend sinister or a pitchfork sable)",,,
173,House Hamell,The Westerlands,"An erminois maunch, on a pink field with an erminois border(Carnation, a maunch within a bordure erminois)",,,
174,House Harclay,The North,"Azure, on a bend argent a hurt between an increscent and decrescent of the first",,,
175,House Hardy,The Crownlands,,,,
176,House Hardyng,The Vale,"A field of red and white diamonds(Lozengy argent and gules)",,,
177,House Harlaw of Grey Garden,Iron Islands,"Quartered: a silver scythe on black, a peacock on cream",,,
178,House Harlaw of Harlaw,Iron Islands,"Sable, a scythe argent",,,
179,House Harlaw of Harlaw Hall,Iron Islands,"Per bend black and silver, two scythes counterchanged",,,
180,House Harlaw of Harridan Hill,Iron Islands,"the Harlaw scythe on a pale blue field",,,
181,House Harlaw of the Tower of Glimmering,Iron Islands,"The Harlaw scythe girdled within an embattled border.",,,
182,House Harlton,The Riverlands,"A silver tree on green",,,
183,House Harroway of Harrenhal,The Riverlands,"Per bend sinister orange and sable rayonné, a castle counterchanged(Per bend sinister rayonné tenné and sable, a castle counterchanged)",,,44 AC
184,House Harte,The Crownlands,"Three red hart's heads caboshed on a white bend on vair",,,
185,House Hastwyck,The Reach,"Barry olive and ivory","None so Dutiful",,
186,House Hasty,The Stormlands,"A white bend cotised, on a purple field(Purpure, a bend cotised argent)",,,
187,House Hawick of Saltpans,The Riverlands,"White seabirds strewn across a blue field(Azure, semé of seabirds argent)",,,
188,House Hawthorne,The Westerlands,"A ring of black thorns and a ring of pink flowers, interlocked, on a green field(Vert, two interlocking annulets, one composed of thorns sable, the other of flowers carnation)",,,
189,House Hayford of Hayford,The Crownlands,"Green fretty over gold, a green pale wavy",,,
190,House Heddle,The Riverlands,,,,
191,House Herston,The Stormlands,"A yellow rooster's head with red comb, within a white escutcheon, on a red field(Gules, on an escutcheon argent, a cock's head or, combed and wattled of the field)",,,
192,House Hersy of Newkeep,The Vale,"A white winged chalice, on a pink field(Carnation, a winged cup displayed argent)",,,
193,House Hetherspoon,The Westerlands,"An oak spoon within a white cartouche, on a field of orange and black diamonds(Lozengy tenné and sable, on a cartouche argent a spoon or)",,,
194,House Hewett of Oakenshield,The Reach,"an oaken escutcheon studded with iron on a field bendy of undulating blue and white",,,
195,House Hightower of the Hightower,The Reach,"Cendrée, a tower argent with a beacon on fire gules","We Light the Way",Age of Dawn,
196,House Hoare of Orkmont,Iron Islands,"Per saltire, two heavy silver chains crossing between a gold longship on a black field, a dark green pine on a white field, a cluster of red grapes on a gold field, and a black raven flying in a blue sky.",,,2 BC
197,House Hogg of Sow's Horn,The Crownlands,,,,
198,House Hollard,The Crownlands,"Barry gules and carnation, a chief azure with three crowns Or",,,300 AC
199,House Holt,Dorne,,,,
200,House Holt,The North,,,,
201,House Hook,The Riverlands,,,,
202,House Hornwood of Hornwood,The North,"Tenny, a bull moose trippant proper","Righteous in Wrath",,
203,House Horpe,The Stormlands,"Per chevron engrailed grey and bone, three death's head moths counterchanged(Per chevron reversed engrailed cendrée and argent, three death's head moths counterchanged)",,,
204,House Hull,Dorne,,,,
205,House Humble,Iron Islands,,,,
206,House Hunt,The Reach,"Argent, a deer bound and slung on a pole fesswise tenny",,,
207,House Hunter of Longbow Hall,The Vale,"Five silver arrows, fanned, on a brown field(Tenné, a sheaf of five arrows, points to chief, argent)",,,
208,House Hutcheson,The Reach,"Or, two bendlets between in base dexter a hand pointing to chief sinister, and in chief sinister a sun in splendour gules",,,
209,House Inchfield,The Reach,"Cendrée, a bend sinister chequy sable and argent",,,
210,House Ironmaker,Iron Islands,,,,
211,House Ironsmith,The North,"Or, a sword palewise between four horseshoes sable all within a bordure vert",,,
212,House Jast,The Westerlands,"An inverted yellow pall between three yellow lions' heads, on a black field(Sable, a pall reversed between three lions' heads erased or)",,,
213,House Jordayne of the Tor,Dorne,"Chequy light and dark green, a quill or.","Let it be Written",,
214,House Justman,The Riverlands,"Golden scales within a blue a double tressure, on a white field(Argent, a pair of balances or within a double-tressure azure)",,,
215,House Karstark of Karhold,The North,"Sable, a sunburst argent","The Sun of Winter",One thousand years ago,
216,House Keath,The Riverlands,"Quarterly of nine; a white fish on a grey field; a gold fish hook on a white field(Quarterly of nine, first, third, fifth, seventh and ninth cendrée, a fish argent; second, fourth, sixth and eight argent, a fish-hook or)",,,
217,House Kellington,The Stormlands,"A black book bound in bronze, locked, on a pale blue field(Azure, a locked book sable, edged and garnished tenné)",,,
218,House Kenning of Harlaw,Iron Islands,"Sable, issuant from a cloud bank in chief the Storm God's hand cendrée with lightning flashing from its fingertip Or",,,
219,House Kenning of Kayce,The Westerlands,"Four sunbursts counterchanged on a quartered orange and black field(Quarterly tenné and sable, four suns-in-splendour counterchanged)",,,
220,House Kettleblack,The Crownlands,"Gules, a kettle within an orle sable",,,
221,House Kidwell of Ivy Hall,The Reach,"Cendrée masoned sable, semy of ivy leaves vert",,,
222,House Knott,The North,"Argent, a saltire surmounted by a fret tenny",,,
223,House Kyndall,The Westerlands,,,,
224,House Ladybright,Dorne,,,,
225,House Lake,Dorne,,,,
226,House Lake,The North,"Tenny, seven pommes arranged 2-2-2-1",,,
227,House Langward,The Crownlands,"Per fess undy: A crown of white stars on burgundy above black",,,
228,House Lannett,The Westerlands,,,,
229,House Lannister of Casterly Rock,The Westerlands,"A gold lion, on a crimson field(Gules, a lion or)","Hear Me Roar!",Age of Heroes,
230,House Lannister of Darry,The Riverlands,"Quarterly, a gold lion on a red field; a black plowman on a brown field(Quarterly, first and fourth gules a lion rampant or (for Lannister), second and third tenné a plowman sable (for Darry))",,299 AC,
231,House Lannister of Lannisport,The Westerlands,,,,
232,House Lanny,The Westerlands,,,,
233,House Lantell,The Westerlands,,,,
234,House Lefford of the Golden Tooth,The Westerlands,"A golden inverted pile on a sky-blue field, a yellow sun in the first(Bleu celeste, a pile reversed or, in canton a sun-in-splendor of the same)",,Andal invasion,
235,House Leygood,The Reach,"Tenny, three thunderbolts in fess sable",,,
236,House Liddle,The North,"Per pale argent and vert, a fir tree line between, three brown pinecones on the argent",,,
237,House Lightfoot,The North,"Tenny, a trail of footprints in bend sinister argent",,,
238,House Lipps,The Vale,"Two large pink lips, on a dark blue field(Azure, a pair of lips carnation)",,,
239,House Locke of Oldcastle,The North,"Two bronze keys crossed on an argent pale on purpure.",,,
240,House Lolliston,The Riverlands,"Three oaken barrels, on a white field(Argent, three oaken barrels proper)",,,
241,House Long,The North,,,,
242,House Longthorpe of Longsister,The Vale,,,,
243,House Longwaters,The Crownlands,,,,
244,House Lonmouth,The Stormlands,"Quartered of six: red lips strewn on a yellow field, yellow skulls strewn on a black field(Quarterly of six, first, third and fifth, or, semé of lips gules, second, fourth and sixth, sable, semé of skulls of the first)","The Choice is Yours",,
245,House Lorch,The Westerlands,"A black manticore on a white field, beneath a crimson chief with three gold coins(Argent, a manticore passant sable, on a chief gules three bezants)",,,
246,House Lothston of Harrenhal,The Riverlands,"A black bat on a field per bend, silver and gold(Per bend argent and or, a bat displayed sable)",,151 AC (House Lothston of Harrenhal),After 212 AC
247,House Lowther,The Reach,"A silver dolphin on a blue-green field",,,
248,House Lyberr,The Reach,"Per bend sinister: a grey cat's face on black, a brown jug on white",,,
249,House Lychester,The Riverlands,"A black talon, on an orange and white gyronny field(Gyronny tenné and argent, an eagle's leg erased sable)",,,
250,House Lydden of Deep Den,The Westerlands,"A white badger on a per pale green and brown field(Per pale vert and tenné, a badger passant argent)",,,
251,House Lynderly of the Snakewood,The Vale,"A black field strewn with green vipers(Sable, semé of snakes vert)",,,
252,House Magnar of Kingshouse,The North,"Argent, a lobster vert holding a harpoon sable",,,
253,House Mallery,The Crownlands,"Purpure, six mullets argent",,,
254,House Mallister of Seagard,The Riverlands,"A silver eagle, displayed, on an indigo field(Purpure, an eagle displayed argent)","Above the Rest",,
255,House Manderly of White Harbor,The North,"A white merman with dark green hair, beard and tail, carrying a black trident, on a blue-green field",,,
256,House Manning,The Crownlands,"A red sea lion between two black pallets on white",,,
257,House Manwoody of Kingsgrave,Dorne,"Sable, a skull argent crowned or.",,,
258,House Marbrand of Ashemark,The Westerlands,"An orange burning tree, on a smoky field(Cendrée, a tree in flame tenné)","Burning bright",,
259,House Marsh,The North,"Or, ten frogs vert",,,
260,House Massey of Stonedance,The Crownlands,"A triple spiral; red, green and blue, on white",,Age of Heroes,
261,House Meadows of Grassy Vale,The Reach,"a border of flowers of many colors and varieties on green",,,
262,House Melcolm of Old Anchor,The Vale,"A rusty anchor, on a turquoise field, beneath yellow chief with three blue plates(Azure, an anchor tenné, on a chief or three hurts)",,,
263,House Merlyn of Pebbleton,Iron Islands,"Argent, Twining waterspouts vert",,,
264,House Merryweather of Longtable,The Reach,"White, a cornucopia Or spilling foods proper within a bordure Or","Behold Our Bounty",,
265,House Mertyns of Mistwood,The Stormlands,"A white great horned owl on a grey field(Cendrée, a great-horned owl close affronté argent)",,,
266,House Middlebury,The Reach,"Quarterly, a black saltire on yellow, green and white diamonds",,,
267,House Mollen,The North,"White, upon a pile vert a snowy pine tree proper",,,
268,House Moore,The Vale,"Three bronze spearheads, on a white field, within a bronze embattled border(Argent, three spearheads within a bordure embattled tenné)",,,
269,House Mooton of Maidenpool,The Riverlands,"A red salmon within a gold tressure, on a white field(Argent, a salmon gules within a tressure or)","Wisdom and Strength",,
270,House Moreland,The Westerlands,"Per pale barry russet and green(Per pale barry tenné and vert)",,,
271,House Mormont of Bear Island,The North,"A wood vert, a bear sable","Here We Stand",,
272,House Morrigen of Crow's Nest,The Stormlands,"A black crow in flight on a storm-green field(Vert, a crow volant sable)",,,
273,House Moss,The North,"A bend orange on vairy grey and green",,,
274,House Mudd of Oldstones,The Riverlands,"A golden crown studded with emeralds, on a red-brown field(Tenné, an ancient crown or studded with emeralds vert)",,,
275,House Mullendore of Uplands,The Reach,"Black-and-orange butterflies on white",,,
276,House Musgood,The Stormlands,"Quarterly: A golden pavilion on a blue field, a green laurel crown on a white field(Quarterly, first and fourth, azure, a pavilion or, second and third, argent, a garland of laurel vert)",,,
277,House Myatt,The Westerlands,"A spotted yellow-and-black treecat, on a mud-brown field(Tenné, a treecat or pelleté)",,,
278,House Myre of Harlaw,Iron Islands,"10 nooses, 4-3-2-1, black on white with a border of blood",,,
279,House Nayland of Hag's Mire,The Riverlands,,,,
280,House Netley,Iron Islands,,,,
281,House Norcross,The Reach,"Argent, a cross embattled sable",,,
282,House Norrey,The North,"Or,six thistles slipped vert",,,
283,House Norridge,The Reach,"Azure, six arrows in bend sable heads flaming gules",,,
284,House Nutt,The Riverlands,,,,
285,House Nymeros Martell of Sunspear,Dorne,"Tenny, a sun in splendour gules transfixed by a spear bendwise Or","Unbowed, Unbent, Unbroken",1000 years ago,
286,House Oakheart of Old Oak,The Reach,"Or, three oak leaves vert","Our Roots Go Deep",,
287,House Oldflowers,The Reach,"Vert, ten hands couped argent surmounted by a bend sinister gules",,,
288,House Orkwood of Orkmont,Iron Islands,"Or, semy of pines vert",,,
289,House Orme,The Reach,"Per fess sable and bendy Or and argent, in chief three harps in fess of the seocnd",,,
290,House Osgrey of Leafy Lake,The Reach,,,,before 210 AC
291,House Osgrey of Standfast,The Reach,"Argent, a lion rampant chequy vert and or",,,
292,House Overton,The North,"Sable, a fess chequy argent and Or",,,
293,House Paege,The Riverlands,"Twining red-and-white snakes, on a black field(Sable, two serpents argent and gules entwined palewise)",,,
294,House Parren,The Westerlands,"Per saltire: burgundy and white stripes; a black lion's head on a gold field(Per saltire, the first paly gules and argent, the second or, a lion's head erased sable)",,,after 209 AC
295,House Payne,The Westerlands,"Gold coins in the checks of a checkered purple and white field(Chequy purpure and argent, each chequer charged with a bezant)",,,
296,House Peake of Starpike,The Reach,"Tenny, three castles sable",,,
